ID,Locality,PricePr,Tenement building,Venue of the sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type,Subtype
10221553,brugge,Starting price : 219000€,No,Link to online sale,2.0,96.0,,,,Yes,,,,,,,,apartment,
10153044,knokke-zoute,3195000€,No,,3.0,140.0,Hyper equipped,,,,,,,,3.0,,Just renovated,apartment,
10307810,blankenberge,309500€,No,,2.0,78.0,,No,,,6.0,,,,,,,apartment,
10303179,heist-aan-zee,475000€,No,,3.0,96.0,,No,,Yes,,,,,2.0,,,apartment,
10289875,knokke-heist,1095000€,No,,3.0,100.0,USA hyper equipped,Yes,,Yes,,,,,2.0,,Just renovated,apartment,
10162535,zeebrugge,460000€,No,,2.0,90.0,,No,,,,,,,,,As new,apartment,
10307785,blankenberge,342000€,No,,2.0,92.0,Installed,No,,,6.0,,,,2.0,,,apartment,
10248647,knokke-heist,615000€,No,,2.0,85.0,USA hyper equipped,No,,,21.0,,,,2.0,,As new,apartment,
10198447,knokke-heist,790000€,No,,1.0,68.0,USA hyper equipped,No,,Yes,,,,,2.0,,Good,apartment,
10229484,brugge,340620€,No,,3.0,148.0,Installed,No,,,12.0,,,,2.0,,,apartment,
10135847,knokke,520000€,No,,3.0,96.0,,No,,,,Yes,,,,,Just renovated,apartment,
10291181,brugge,165000€,No,,2.0,60.0,,No,,,,,,,2.0,,To be done up,apartment,
10280432,blankenberge,420000€,No,,2.0,,,,,,,,,,,,,apartment,
9881490,sint-michiels,925000€,No,,6.0,240.0,Installed,No,,Yes,,,,,3.0,,As new,apartment,
10150684,zeebrugge,279000€,No,,3.0,107.0,,No,,,22.0,,,,,,As new,apartment,
10229483,brugge,307650€,No,,3.0,112.0,Installed,No,,,7.0,,,,2.0,,,apartment,
10229488,brugge,274680€,No,,2.0,88.0,Installed,No,,,7.0,,,,2.0,,,apartment,
10300412,knokke-heist,868500€,No,,3.0,87.0,,No,,Yes,,,,,2.0,,As new,apartment,
10150422,wenduine,635000€,No,,3.0,146.0,,No,,,14.0,,,,,,As new,apartment,
10284493,oostende,425000€,No,,2.0,,,,,,10.0,,,,,,,apartment,
10097592,oostende,259000€,No,,1.0,60.0,Hyper equipped,No,,,,,,,,,As new,apartment,
10002787,blankenberge,330000€,No,,2.0,102.0,Installed,No,,,,,,,,,,apartment,
10299358,knokke-heist-knokke,1095000€,No,,3.0,100.0,,Yes,,,15.0,,,,2.0,,As new,apartment,
10273127,brugge,1250000€,No,,9.0,518.0,,Yes,,Yes,,,,,,,As new,apartment,
10228421,knokke-heist,1095000€,No,,3.0,100.0,,No,,,,,,,2.0,,As new,apartment,
10181834,oostende,445000€,No,,2.0,122.0,,No,,,12.0,,,,,,As new,apartment,
10289051,knokke-heist,1850000€,No,,3.0,125.0,Hyper equipped,,,Yes,,,,,3.0,,As new,apartment,
10146040,oostende,278000€,No,,2.0,96.0,Installed,,,,12.0,,,,2.0,,As new,apartment,
10093073,oostende,408500€,No,,2.0,85.0,,,,Yes,,,,,,,,apartment,
10250319,knokke,620000€,No,,2.0,90.0,,No,,,,Yes,,,,,,apartment,
10312560,brugge,719000€,No,,3.0,260.0,Hyper equipped,No,,,,,,,,,As new,apartment,
10255485,middelkerke,449000€,No,,2.0,75.0,Not installed,No,,Yes,,,,,2.0,,Just renovated,apartment,
10088407,brugge,299000€,No,,2.0,109.0,Installed,No,,Yes,,,,,,,Good,apartment,
10251500,zedelgem,165000€,No,,1.0,59.0,,No,,,,,,,,,As new,apartment,
10280884,blankenberge,169000€,No,,2.0,86.0,Installed,No,,,,,,,,,As new,apartment,
9940901,heist-aan-zee,545000€,No,,2.0,95.0,,No,,Yes,,,,,,,Good,apartment,
10032347,knokke,868500€,No,,3.0,87.0,,No,,,,,,,,,Just renovated,apartment,
10229408,leffinge,325000€,No,,2.0,110.0,Installed,No,,Yes,,,,,,,Good,apartment,
10307815,blankenberge,312000€,No,,2.0,78.0,,No,,,6.0,,,,,,,apartment,
10289861,sijsele,299000€,No,,2.0,89.0,Hyper equipped,,,Yes,,,92.0,,2.0,,,apartment,
10233008,sint-andries,199000€,No,,2.0,111.0,,,,,,,,,2.0,,,apartment,
10307826,blankenberge,369500€,No,,2.0,99.0,Installed,No,,,14.0,,,,,,,apartment,
10106783,brugge,270000€,No,,3.0,141.0,,,,,,,,,,,,apartment,
10288394,knokke-heist,945000€,No,,2.0,72.0,,,,,,,,,,,,apartment,
10015881,blankenberge,469000€,No,,3.0,103.0,,Yes,,,,,,,,,As new,apartment,
10012068,middelkerke,290000€,No,,2.0,58.0,Installed,Yes,,Yes,,,,,2.0,,Good,apartment,
10081536,oostende,265000€,No,,2.0,,,No,,,,,,,2.0,,Good,apartment,
10276913,oostende,315000€,No,,2.0,,,,,,,,,,,,,apartment,
8731509,de-haan,330000€,No,,2.0,70.0,Installed,No,,,,,,,,,,apartment,
10133379,blankenberge,169000€,No,,1.0,,,Yes,,,5.0,Yes,,,,,,apartment,
7053210,heist-aan-zee,330000€,No,,3.0,,,,,,,,,,,,,apartment,
10201047,heist-aan-zee,395000€,No,,2.0,178.0,,,,Yes,,,,,2.0,,,apartment,
10249249,knokke,1000000€,No,,3.0,144.0,Installed,No,,,41.0,,,,4.0,,As new,apartment,
10267386,knokke-heist,1850000€,No,,3.0,125.0,,No,,Yes,,,,,,,As new,apartment,
10104305,blankenberge,895000€,No,,3.0,134.0,,No,,Yes,,,,,2.0,,As new,apartment,
10011962,de-haan,999000€,No,,3.0,170.0,Installed,No,,,25.0,,,,3.0,,As new,apartment,
10307354,oostende,475000€,No,,4.0,217.0,Installed,No,,Yes,,,,,,,Good,apartment,
10302926,gistel,182000€,No,,2.0,,Hyper equipped,No,,Yes,,,,,,,Good,apartment,
10047588,blankenberge,125000€,No,,1.0,43.0,Installed,Yes,,,3.0,,,,2.0,,To renovate,apartment,
10175959,blankenberge,465000€,No,,3.0,84.0,Hyper equipped,Yes,,Yes,,,,,2.0,,As new,apartment,
